states,states_code,id,year,population
Alabama,AL,1,2010,4785437
Alaska,AK,2,2010,713910
Arizona,AZ,4,2010,6407172
Arkansas,AR,5,2010,2921964
California,CA,6,2010,37319502
Colorado,CO,8,2010,5047349
Connecticut,CT,9,2010,3579114
Delaware,DE,10,2010,899593
District of Columbia,DC,11,2010,605226
Florida,FL,12,2010,18845537
Georgia,GA,13,2010,9711881
Hawaii,HI,15,2010,1363963
Idaho,ID,16,2010,1570746
Illinois,IL,17,2010,12840503
Indiana,IN,18,2010,6490432
Iowa,IA,19,2010,3050745
Kansas,KS,20,2010,2858190
Kentucky,KY,21,2010,4348181
Louisiana,LA,22,2010,4544532
Maine,ME,23,2010,1327629
Maryland,MD,24,2010,5788645
Massachusetts,MA,25,2010,6566307
Michigan,MI,26,2010,9877510
Minnesota,MN,27,2010,5310828
Mississippi,MS,28,2010,2970548
Missouri,MO,29,2010,5995974
Montana,MT,30,2010,990697
Nebraska,NE,31,2010,1829542
Nevada,NV,32,2010,2702405
New Hampshire,NH,33,2010,1316762
New Jersey,NJ,34,2010,8799446
New Mexico,NM,35,2010,2064552
New York,NY,36,2010,19399878
North Carolina,NC,37,2010,9574323
North Dakota,ND,38,2010,674715
Ohio,OH,39,2010,11539336
Oklahoma,OK,40,2010,3759944
Oregon,OR,41,2010,3837491
Pennsylvania,PA,42,2010,12711160
Rhode Island,RI,44,2010,1053959
South Carolina,SC,45,2010,4635649
South Dakota,SD,46,2010,816166
Tennessee,TN,47,2010,6355311
Texas,TX,48,2010,25241971
Utah,UT,49,2010,2775332
Vermont,VT,50,2010,625879
Virginia,VA,51,2010,8023699
Washington,WA,53,2010,6742830
West Virginia,WV,54,2010,1854239
Wisconsin,WI,55,2010,5690475
Wyoming,WY,56,2010,564487
Puerto Rico,PR,72,2010,3721525
Alabama,AL,1,2011,4799069
Alaska,AK,2,2011,722128
Arizona,AZ,4,2011,6472643
Arkansas,AR,5,2011,2940667
California,CA,6,2011,37638369
Colorado,CO,8,2011,5121108
Connecticut,CT,9,2011,3588283
Delaware,DE,10,2011,907381
District of Columbia,DC,11,2011,619800
Florida,FL,12,2011,19053237
Georgia,GA,13,2011,9802431
Hawaii,HI,15,2011,1379329
Idaho,ID,16,2011,1583910
Illinois,IL,17,2011,12867454
Indiana,IN,18,2011,6516528
Iowa,IA,19,2011,3066336
Kansas,KS,20,2011,2869225
Kentucky,KY,21,2011,4369821
Louisiana,LA,22,2011,4575625
Maine,ME,23,2011,1328284
Maryland,MD,24,2011,5839419
Massachusetts,MA,25,2011,6613583
Michigan,MI,26,2011,9882412
Minnesota,MN,27,2011,5346143
Mississippi,MS,28,2011,2978731
Missouri,MO,29,2011,6010275
Montana,MT,30,2011,997316
Nebraska,NE,31,2011,1840672
Nevada,NV,32,2011,2712730
New Hampshire,NH,33,2011,1320202
New Jersey,NJ,34,2011,8828117
New Mexico,NM,35,2011,2080450
New York,NY,36,2011,19499241
North Carolina,NC,37,2011,9657592
North Dakota,ND,38,2011,685225
Ohio,OH,39,2011,11544663
Oklahoma,OK,40,2011,3788379
Oregon,OR,41,2011,3872036
Pennsylvania,PA,42,2011,12745815
Rhode Island,RI,44,2011,1053649
South Carolina,SC,45,2011,4671994
South Dakota,SD,46,2011,823579
Tennessee,TN,47,2011,6399291
Texas,TX,48,2011,25645629
Utah,UT,49,2011,2814384
Vermont,VT,50,2011,627049
Virginia,VA,51,2011,8101155
Washington,WA,53,2011,6826627
West Virginia,WV,54,2011,1856301
Wisconsin,WI,55,2011,5705288
Wyoming,WY,56,2011,567299
Puerto Rico,PR,72,2011,3678732
Alabama,AL,1,2012,4815588
Alaska,AK,2,2012,730443
Arizona,AZ,4,2012,6554978
Arkansas,AR,5,2012,2952164
California,CA,6,2012,37948800
Colorado,CO,8,2012,5192647
Connecticut,CT,9,2012,3594547
Delaware,DE,10,2012,915179
District of Columbia,DC,11,2012,634924
Florida,FL,12,2012,19297822
Georgia,GA,13,2012,9901430
Hawaii,HI,15,2012,1394804
Idaho,ID,16,2012,1595324
Illinois,IL,17,2012,12882510
Indiana,IN,18,2012,6537703
Iowa,IA,19,2012,3076190
Kansas,KS,20,2012,2885257
Kentucky,KY,21,2012,4386346
Louisiana,LA,22,2012,4600972
Maine,ME,23,2012,1327729
Maryland,MD,24,2012,5886992
Massachusetts,MA,25,2012,6663005
Michigan,MI,26,2012,9897145
Minnesota,MN,27,2012,5376643
Mississippi,MS,28,2012,2983816
Missouri,MO,29,2012,6024367
Montana,MT,30,2012,1003783
Nebraska,NE,31,2012,1853303
Nevada,NV,32,2012,2743996
New Hampshire,NH,33,2012,1324232
New Jersey,NJ,34,2012,8844942
New Mexico,NM,35,2012,2087309
New York,NY,36,2012,19572932
North Carolina,NC,37,2012,9749476
North Dakota,ND,38,2012,701176
Ohio,OH,39,2012,11548923
Oklahoma,OK,40,2012,3818814
Oregon,OR,41,2012,3899001
Pennsylvania,PA,42,2012,12767118
Rhode Island,RI,44,2012,1054621
South Carolina,SC,45,2012,4717354
South Dakota,SD,46,2012,833566
Tennessee,TN,47,2012,6453898
Texas,TX,48,2012,26084481
Utah,UT,49,2012,2853375
Vermont,VT,50,2012,626090
Virginia,VA,51,2012,8185080
Washington,WA,53,2012,6897058
West Virginia,WV,54,2012,1856872
Wisconsin,WI,55,2012,5719960
Wyoming,WY,56,2012,576305
Puerto Rico,PR,72,2012,3634488
Alabama,AL,1,2013,4830081
Alaska,AK,2,2013,737068
Arizona,AZ,4,2013,6632764
Arkansas,AR,5,2013,2959400
California,CA,6,2013,38260787
Colorado,CO,8,2013,5269035
Connecticut,CT,9,2013,3594841
Delaware,DE,10,2013,923576
District of Columbia,DC,11,2013,650581
Florida,FL,12,2013,19545621
Georgia,GA,13,2013,9972479
Hawaii,HI,15,2013,1408243
Idaho,ID,16,2013,1611206
Illinois,IL,17,2013,12895129
Indiana,IN,18,2013,6568713
Iowa,IA,19,2013,3092997
Kansas,KS,20,2013,2893212
Kentucky,KY,21,2013,4404659
Louisiana,LA,22,2013,4624527
Maine,ME,23,2013,1328009
Maryland,MD,24,2013,5923188
Massachusetts,MA,25,2013,6713315
Michigan,MI,26,2013,9913065
Minnesota,MN,27,2013,5413479
Mississippi,MS,28,2013,2988711
Missouri,MO,29,2013,6040715
Montana,MT,30,2013,1013569
Nebraska,NE,31,2013,1865279
Nevada,NV,32,2013,2775970
New Hampshire,NH,33,2013,1326622
New Jersey,NJ,34,2013,8856972
New Mexico,NM,35,2013,2092273
New York,NY,36,2013,19624447
North Carolina,NC,37,2013,9843336
North Dakota,ND,38,2013,722036
Ohio,OH,39,2013,11576684
Oklahoma,OK,40,2013,3853214
Oregon,OR,41,2013,3922468
Pennsylvania,PA,42,2013,12776309
Rhode Island,RI,44,2013,1055081
South Carolina,SC,45,2013,4764080
South Dakota,SD,46,2013,842316
Tennessee,TN,47,2013,6494340
Texas,TX,48,2013,26480266
Utah,UT,49,2013,2897640
Vermont,VT,50,2013,626210
Virginia,VA,51,2013,8252427
Washington,WA,53,2013,6963985
West Virginia,WV,54,2013,1853914
Wisconsin,WI,55,2013,5736754
Wyoming,WY,56,2013,582122
Puerto Rico,PR,72,2013,3593077
Alabama,AL,1,2014,4841799
Alaska,AK,2,2014,736283
Arizona,AZ,4,2014,6730413
Arkansas,AR,5,2014,2967392
California,CA,6,2014,38596972
